id,orderId,carPreviewUrl,pickupMethodLabel,humanPrice,humanPriceWithoutDegressivity,humanStartingPrice,humanDuration,isPricePerDay,friendlyCarPath,carTitleWithoutDetails,probaLevel,shiftedLatitude,shiftedLongitude,isPicked,icon,instantBookable,deliveryType,carIsOpen,carThumbUrl,rating,humanDistance
1427171,99104026,/cars/1427171/preview?address=Paris&distance=400&duration=For+2+days&ends_at=2025-01-31+07%3A30%3A00+%2B0100&order_id=99104026&pick_cta=true&price_placeholder=true&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522&starts_at=2025-01-30+07%3A00%3A00+%2B0100,Getaround Connect,€88,€97,,For 2 days,False,/car-rental/paris/toyota-yaris-cross-hybrid-1427171?address=Paris&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522,Toyota Yaris Cross Hybrid (2022),good,48.85813587466157,2.355749616126841,False,open,True,,True,https://drivy.gumlet.io/uploads/originals/a1474c9483a14853d58864298184430b.jpg?compress=true&dpr=1&fm=auto&h=210&mode=crop&w=410,"{'value': 4.96, 'count': 12}",300 m
1237261,99104026,/cars/1237261/preview?address=Paris&distance=400&duration=For+2+days&ends_at=2025-01-31+07%3A30%3A00+%2B0100&order_id=99104026&pick_cta=true&price_placeholder=true&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522&starts_at=2025-01-30+07%3A00%3A00+%2B0100,Getaround Connect,€82,€89,,For 2 days,False,/car-rental/paris/renault-clio-1237261?address=Paris&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522,Renault Clio (2023),good,48.8613896173541,2.353303287373135,False,open,True,,True,https://drivy.gumlet.io/uploads/originals/d662e34f31394460b56666776271f34c.jpg?compress=true&dpr=1&fm=auto&h=210&mode=crop&w=410,"{'value': 4.56, 'count': 34}",570 m
1230946,99104026,/cars/1230946/preview?address=Paris&distance=400&duration=For+2+days&ends_at=2025-01-31+07%3A30%3A00+%2B0100&order_id=99104026&pick_cta=true&price_placeholder=true&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522&starts_at=2025-01-30+07%3A00%3A00+%2B0100,Getaround Connect,€82,€89,,For 2 days,False,/car-rental/paris/renault-clio-1230946?address=Paris&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522,Renault Clio (2023),good,48.8612881495463,2.353862849856131,False,open,True,,True,https://drivy.gumlet.io/uploads/originals/cf764ff9341ba7b3200201460c983a55.jpg?compress=true&dpr=1&fm=auto&h=210&mode=crop&w=410,"{'value': 4.5, 'count': 41}",570 m
1237260,99104026,/cars/1237260/preview?address=Paris&distance=400&duration=For+2+days&ends_at=2025-01-31+07%3A30%3A00+%2B0100&order_id=99104026&pick_cta=true&price_placeholder=true&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522&starts_at=2025-01-30+07%3A00%3A00+%2B0100,Getaround Connect,€82,€89,,For 2 days,False,/car-rental/paris/renault-clio-1237260?address=Paris&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522,Renault Clio (2023),good,48.86147195204046,2.353295784046559,False,open,True,,True,https://drivy.gumlet.io/uploads/originals/7b37b888a5fea9f2e295098f517d542f.jpg?compress=true&dpr=1&fm=auto&h=210&mode=crop&w=410,"{'value': 4.51, 'count': 35}",570 m
1506950,99104026,/cars/1506950/preview?address=Paris&distance=400&duration=For+2+days&ends_at=2025-01-31+07%3A30%3A00+%2B0100&order_id=99104026&pick_cta=true&price_placeholder=true&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522&starts_at=2025-01-30+07%3A00%3A00+%2B0100,Getaround Connect,€83,€90,,For 2 days,False,/car-rental/paris/peugeot-208-1506950?address=Paris&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522,Peugeot 208 (2024),good,48.86100787945033,2.356985815285389,False,open,True,,True,https://drivy.gumlet.io/uploads/originals/8268ba4dbb91284ea528d1310bb2b744.jpg?compress=true&dpr=1&fm=auto&h=210&mode=crop&w=410,"{'value': 4.86, 'count': 7}",580 m
1575954,99104026,/cars/1575954/preview?address=Paris&distance=400&duration=For+2+days&ends_at=2025-01-31+07%3A30%3A00+%2B0100&order_id=99104026&pick_cta=true&price_placeholder=true&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522&starts_at=2025-01-30+07%3A00%3A00+%2B0100,Getaround Connect,€102,€112,,For 2 days,False,/car-rental/paris/toyota-yaris-cross-1575954?address=Paris&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522,Toyota Yaris Cross (2024),good,48.86168259442782,2.35374179648301,False,open,True,,True,https://drivy.gumlet.io/uploads/originals/3e7efe4a7d51a0a6b1bb52627c920b3e.jpg?compress=true&dpr=1&fm=auto&h=210&mode=crop&w=410,"{'value': 4.6, 'count': 5}",570 m
676141,99104026,/cars/676141/preview?address=Paris&distance=400&duration=For+2+days&ends_at=2025-01-31+07%3A30%3A00+%2B0100&order_id=99104026&pick_cta=true&price_placeholder=true&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522&starts_at=2025-01-30+07%3A00%3A00+%2B0100,Getaround Connect,€64,€70,,For 2 days,False,/car-rental/paris/renault-clio-676141?address=Paris&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522,Renault Clio (2016),,48.86222190081197,2.354052523261945,False,open,True,,True,https://drivy.gumlet.io/uploads/originals/47b17d50a28e81495746d5bfad695db0.jpg?compress=true&crop=focalpoint&dpr=1&fm=auto&fp-x=0.443931235923423&fp-y=0.43134375&h=210&mode=crop&w=410,"{'value': 4.38, 'count': 153}",640 m
1203736,99104026,/cars/1203736/preview?address=Paris&distance=400&duration=For+2+days&ends_at=2025-01-31+07%3A30%3A00+%2B0100&order_id=99104026&pick_cta=true&price_placeholder=true&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522&starts_at=2025-01-30+07%3A00%3A00+%2B0100,Getaround Connect,€73,€79,,For 2 days,False,/car-rental/paris/citroen-c3-1203736?address=Paris&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522,Citroen C3 (2023),,48.86210144695761,2.354333615687552,False,open,True,,True,https://drivy.gumlet.io/uploads/originals/01b76e21ab378243c31f8ed39325a44c.jpg?compress=true&dpr=1&fm=auto&h=210&mode=crop&w=410,"{'value': 4.51, 'count': 57}",640 m
1600723,99104026,/cars/1600723/preview?address=Paris&distance=400&duration=For+2+days&ends_at=2025-01-31+07%3A30%3A00+%2B0100&order_id=99104026&pick_cta=true&price_placeholder=true&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522&starts_at=2025-01-30+07%3A00%3A00+%2B0100,Getaround Connect,€88,€97,,For 2 days,False,/car-rental/paris/peugeot-2008-1600723?address=Paris&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522,Peugeot 2008 (2022),,48.86251255629952,2.354213583407433,False,open,True,,True,https://drivy.gumlet.io/uploads/originals/fbeeb0e9e41187c2a5d8f88c275c3649.jpg?compress=true&dpr=1&fm=auto&h=210&mode=crop&w=410,"{'value': 1.0, 'count': 1}",640 m
1575981,99104026,/cars/1575981/preview?address=Paris&distance=400&duration=For+2+days&ends_at=2025-01-31+07%3A30%3A00+%2B0100&order_id=99104026&pick_cta=true&price_placeholder=true&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522&starts_at=2025-01-30+07%3A00%3A00+%2B0100,Getaround Connect,€101,€110,,For 2 days,False,/car-rental/paris/toyota-yaris-cross-1575981?address=Paris&program=getaround&searched_address%5Blatitude%5D=48.8566&searched_address%5Blongitude%5D=2.3522,Toyota Yaris Cross (2024),good,48.86184281274073,2.353455454749805,False,open,True,,True,https://drivy.gumlet.io/uploads/originals/f37598ec1c8dcfb99ec888f1a6b320b6.jpg?compress=true&dpr=1&fm=auto&h=210&mode=crop&w=410,"{'value': 4.5, 'count': 4}",570 m
